user_id,name,professional summary,about me,mbti,location,career goal,Industry
U001,riya,"Data analyst with 3 years of experience in healthcare analytics, skilled in SQL, Python, Power BI, and business reporting.","I enjoy solving practical problems, working with cross-functional teams, and presenting data stories that drive decisions.",INTJ,Pune,Become AI Research Scientist,Healthcare Analytics
U002,arnav,"Machine learning engineer specializing in predictive modeling, deep learning, and model deployment pipelines for scalable AI applications.","I love experimenting with models, reading research papers, and building intelligent systems that solve real-world challenges.",INTP,Mumbai,Lead ML Product Team,FinTech
U003,kiran,"Frontend developer skilled in React, JavaScript, responsive design, and UI optimization for seamless user experiences.","Creative and detail-oriented, I enjoy collaborating with designers and building intuitive digital interfaces.",ENTJ,Bengaluru,Build scalable SaaS startup,Cybersecurity
U004,simran,"Backend developer experienced in Flask, FastAPI, REST APIs, SQL databases, and cloud deployment workflows.","I enjoy writing clean code, debugging complex issues, and designing efficient backend architectures.",ENTP,Hyderabad,Work in data-driven healthcare,Cloud Computing
U005,kirti,"Cybersecurity analyst with expertise in vulnerability assessment, penetration testing, SIEM tools, and incident response.","I am highly detail-oriented, analytical, and enjoy structured environments where risk prevention is critical.",INFJ,Delhi,Become cybersecurity architect,EdTech
U006,swati,"Product manager experienced in agile methodology, roadmap planning, user research, and stakeholder communication.",I enjoy aligning technology with business goals and working with teams to deliver impactful products.,INFP,Chennai,Transition into product management,E-commerce
U007,swaran,"Data scientist focused on NLP, recommendation systems, feature engineering, and predictive analytics across multiple domains.","Curious by nature, I enjoy exploring patterns in data and mentoring peers on analytical thinking.",ENFJ,Nagpur,Work in fintech analytics,Business Intelligence
U008,sandhya,"DevOps engineer specializing in Docker, Kubernetes, CI/CD pipelines, and cloud automation on AWS.",I enjoy automating repetitive workflows and optimizing infrastructure for performance and reliability.,ENFP,Pune,Build NLP-powered applications,IoT
U009,manjiri,"UI/UX designer skilled in wireframing, prototyping, accessibility design, and user-centered workflows using Figma.",I enjoy transforming ideas into intuitive interfaces and collaborating closely with development teams.,ISTJ,Mumbai,Lead cloud transformation projects,Automotive AI
U010,kriti,"Cloud engineer with expertise in Azure, AWS, serverless architecture, and distributed systems design.",I enjoy working on scalable systems and ensuring robust cloud infrastructure for high-demand applications.,ISFJ,Bengaluru,Become full-stack engineer,Artificial Intelligence
U011,krutika,"AI researcher working on transformer models, explainable AI, and healthcare-based deep learning solutions.","I enjoy reading technical papers, experimenting with cutting-edge architectures, and contributing to innovation.",ESTJ,Hyderabad,Start edtech company,Healthcare Analytics
U012,kartik,"Mobile app developer experienced in Kotlin, Android Studio, Firebase, and API integration for scalable applications.","I enjoy rapid prototyping, startup environments, and building user-focused mobile experiences.",ESFJ,Delhi,Research explainable AI,FinTech
U013,kunti,"Business analyst skilled in SQL, Tableau, Excel modeling, and translating stakeholder requirements into technical solutions.",I enjoy bridging business and technology while simplifying complex processes through structured thinking.,ISTP,Chennai,Work in autonomous systems,Cybersecurity
U014,pavan,"HR analytics specialist focused on workforce insights, recruitment optimization, and employee engagement analytics.","Empathetic and people-focused, I enjoy improving workplace culture using data-driven decisions.",ISFP,Nagpur,Become DevOps specialist,Cloud Computing
U015,prem,"Research intern working on generative AI, LLM fine-tuning, prompt engineering, and academic experimentation.","I enjoy interdisciplinary learning, innovation, and collaborating with peers on future-facing technologies.",ESTP,Pune,Build recommender systems,EdTech
U016,sneha,"QA engineer experienced in automation testing, Selenium, API testing, and bug lifecycle management.","I enjoy finding edge cases, ensuring product quality, and improving release confidence.",ESFP,Mumbai,Work in business intelligence,E-commerce
U017,param,"Blockchain developer specializing in smart contracts, Solidity, decentralized apps, and Web3 integrations.",I enjoy exploring emerging technologies and building transparent systems with secure logic.,INTJ,Bengaluru,Lead UX strategy teams,Business Intelligence
U018,piya,"Robotics engineer working on autonomous systems, ROS, embedded programming, and sensor integration.",I enjoy hands-on experimentation and solving interdisciplinary engineering challenges.,INFP,Hyderabad,Develop smart IoT systems,IoT
U019,siya,"Game developer skilled in Unity, C#, 3D physics, and gameplay mechanics optimization.",Creative thinker who enjoys immersive storytelling and interactive user experiences.,ENTJ,Delhi,Become data engineer,Automotive AI
U020,smriti,"IoT engineer focused on sensor networks, MQTT, Raspberry Pi, edge computing, and smart applications.",I enjoy building connected systems that bridge hardware intelligence with real-world automation.,ENFP,Chennai,Build computer vision products,Artificial Intelligence
U021,pura,"Data analyst specializing in financial forecasting, dashboard automation, and customer segmentation using Python and SQL.",I enjoy deriving business insights from data and collaborating on strategy-driven projects.,ISTJ,Pune,Become AI Research Scientist,Healthcare Analytics
U022,rahul,"Machine learning engineer focused on recommender systems, neural networks, and model optimization for production environments.",I enjoy solving scalable AI challenges and continuously learning advanced ML techniques.,ISFJ,Mumbai,Lead ML Product Team,FinTech
U023,ananya,"Frontend developer experienced in Vue.js, responsive layouts, and performance-focused web interfaces.","I enjoy creative collaboration, user-centric thinking, and polishing digital experiences.",ESTP,Bengaluru,Build scalable SaaS startup,Cybersecurity
U024,rohan,"Backend developer working with Django, Flask, PostgreSQL, and RESTful APIs for enterprise systems.","I enjoy system design, debugging backend logic, and improving application performance.",ESFP,Hyderabad,Work in data-driven healthcare,Cloud Computing
U025,meera,"Product manager focused on AI-powered product strategy, market research, and roadmap execution.",I enjoy connecting user needs with innovative technical solutions.,INTP,Delhi,Become cybersecurity architect,EdTech
U026,nikhil,"Cybersecurity consultant experienced in ethical hacking, intrusion detection, and security compliance frameworks.","I enjoy analyzing threats, building secure systems, and staying updated with evolving cyber risks.",INFJ,Chennai,Transition into product management,E-commerce
U027,rutuja,"Data scientist working on time-series forecasting, anomaly detection, and business intelligence dashboards.",I enjoy finding patterns in data and helping teams make informed decisions.,ENFJ,Nagpur,Work in fintech analytics,Business Intelligence
U028,vedant,"Cloud solutions architect specializing in AWS, microservices, and scalable distributed deployments.",I enjoy designing robust architectures and solving performance bottlenecks.,ISTP,Pune,Build NLP-powered applications,IoT
U029,shruti,"AI engineer focused on computer vision, object detection, and real-time inference optimization.",I enjoy building intelligent applications and experimenting with state-of-the-art deep learning models.,ISFP,Mumbai,Lead cloud transformation projects,Automotive AI
U030,omkar,"UI designer experienced in Figma, design systems, and user accessibility best practices.",I enjoy creating clean visual experiences and collaborating with frontend teams.,ESTJ,Bengaluru,Become full-stack engineer,Artificial Intelligence
